facility_id,facility_name,msha_identification_number,facility_name_state,MINE_ID,STATE,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,CURRENT_103I,CURRENT_103I_DT
1009758.0,TILLER NO.1 DEEP MINE,4406804,,4406804.0,VA,Underground,Temporarily Idled,08/26/2020,0.0,0.0,0.0,0.0,Removed From 103I Status,01/07/2016
1009760.0,WYOMING 2 MINE,4606263,,4606263.0,WV,Underground,NonProducing,10/26/2020,5.0,0.0,0.0,1.0,Removed From 103I Status,01/29/2020
1010362.0,SHAY #1 MINE,1100726,SHAY #1 MINE,1100726.0,IL,Facility,NonProducing,03/09/2020,4.0,0.0,0.0,1.0,Removed From 103I Status,10/29/2020
1010048.0,RUBY ENERGY,4608808,,4608808.0,WV,Underground,Abandoned and Sealed,01/30/2023,0.0,0.0,0.0,0.0,Removed From 103I Status,03/01/2021
1010056.0,"WEBSTER COUNTY COAL, LLC",1502132,,1502132.0,KY,Underground,Abandoned,01/21/2020,0.0,0.0,0.0,0.0,Inspect Once Every 15-days,10/31/2019
1009850.0,DUGOUT CANYON MINE,4201890,DUGOUT CANYON MINE,4201890.0,UT,Underground,NonProducing,09/16/2019,5.0,0.0,0.0,1.0,Removed From 103I Status,08/03/2020
1011472.0,"CARTER ROAG COAL COMPANY, INC. - PLEASANT HILL MINE",4608194,,4608194.0,WV,Facility,Abandoned,07/25/2018,0.0,0.0,0.0,0.0,Removed From 103I Status,11/13/2017
1003751.0,CARLISLE MINE,1202349,,1202349.0,IN,Underground,Abandoned and Sealed,07/02/2020,0.0,0.0,0.0,0.0,Removed From 103I Status,05/13/2020
1013967.0,ROAD FORK 52,4609522,,4609522.0,WV,Underground,Active,07/06/2020,5.0,10.0,2.0,1.0,Inspect Once Every 5-days,05/10/2021
1001686.0,WILDCAT HILLS MINE,1103156,,1103156.0,IL,Underground,Abandoned and Sealed,11/18/2020,0.0,0.0,0.0,0.0,Inspect Once Every 10-days,05/02/2017
1010124.0,ROAD FORK NO. 51 MINE,4601544,,4601544.0,WV,Underground,NonProducing,06/08/2020,5.0,0.0,0.0,1.0,Removed From 103I Status,02/08/2021
1012109.0,CCU COAL AND CONSTRUCTION LLC,,,,,,,,,,,,,
1007528.0,"MATRIX ENERGY, LLC",1518575,,1518575.0,KY,Underground,Temporarily Idled,07/31/2020,0.0,0.0,0.0,0.0,Removed From 103I Status,09/12/2019
1007168.0,GENESIS MINE,1519535,,1519535.0,KY,Surface,NonProducing,01/17/2023,0.0,0.0,0.0,0.0,Removed From 103I Status,03/05/2021
1005764.0,MONONGALIA COUNTY MINE,4601968,MONONGALIA COUNTY MINE,4601968.0,WV,Facility,NonProducing,08/09/2021,5.0,0.0,0.0,0.0,Removed From 103I Status,09/14/2021
1001682.0,TWENTYMILE MINE,503836,,503836.0,CO,Underground,Active,09/11/1985,7.0,12.0,3.0,1.0,Hazard,04/02/2023
1013016.0,CARTER ROAG COAL COMPANY - MORGAN CAMP MINE,4608656,,4608656.0,WV,Underground,NonProducing,07/05/2023,5.0,0.0,0.0,0.0,Removed From 103I Status,08/18/1997
1011909.0,HEILWOOD MINE,3609407,,3609407.0,PA,Underground,Active,06/20/2016,5.0,9.0,1.0,0.0,Inspect Once Every 10-days,02/04/2022
1014367.0,KNOB CREEK MINE,3609394,,3609394.0,PA,Underground,Active,02/05/2020,5.0,9.0,1.0,0.0,Inspect Once Every 10-days,07/19/2022
1014471.0,"NEW ELK COAL COMPANY, LLC",0504975,,504975.0,CO,Underground,Temporarily Idled,06/21/2023,5.0,0.0,0.0,0.0,Never Had 103I Status,
1007472.0,LEER SOUTH MINING COMPLEX,4604168,LEER SOUTH,4604168.0,WV,Underground,Active,01/11/2007,7.0,9.0,2.0,1.0,Inspect Once Every 5-days,06/15/2007
1011886.0,GATEWAY NORTH MINE,1103235,GATEWAY NORTH MINE,1103235.0,IL,Underground,Active,05/11/2015,5.0,9.0,3.0,0.0,Never Had 103I Status,
