vent_id,scene_id,observed,date,plume_latitude,plume_longitude,plume_id,emission_auto,emission_uncertainty_auto,qc_missing,qc_qc,qc
1,ang20221011t171034,True,2022-10-11,,,,0.0,50.0,none,,fail
1,ang20221009t162340,True,2022-10-09,,,,0.0,50.0,none,,fail
1,ang20221003t181100,True,2022-10-03,,,,0.0,50.0,none,,fail
1,ang20221003t160932,True,2022-10-03,,,,0.0,50.0,none,,fail
2,ang20221103t164406,True,2022-11-03,,,,0.0,50.0,none,,fail
2,ang20221011t171034,True,2022-10-11,,,,0.0,50.0,none,,fail
2,ang20221011t165806,True,2022-10-11,,,,0.0,50.0,none,,fail
2,ang20221009t162340,True,2022-10-09,,,,0.0,50.0,none,,fail
2,ang20221003t181100,True,2022-10-03,,,,0.0,50.0,none,,fail
2,GAO20210813t152451p0000,True,2021-08-13,39.844464,-80.599233,GAO20210813t152451p0000-B,1190.557142518934,42.05687259341316,,pass,pass
4,ang20221024t174902,True,2022-10-24,,,,0.0,50.0,none,,fail
4,ang20221009t181144,True,2022-10-09,,,,0.0,50.0,none,,fail
4,GAO20210521t155242p0000,True,2021-05-21,39.87926627,-80.17072068,GAO20210521t155242p0000-A,376.9250474311311,103.28386141084748,,pass,pass
4,GAO20210515t144158p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
4,GAO20210514t132657p0000,True,2021-05-14,,,,0.0,50.0,none,,fail
5,ang20221011t184153,True,2022-10-11,,,,0.0,50.0,none,,fail
5,GAO20210813t141544p0000,True,2021-08-13,39.76801,-80.375778,GAO20210813t141544p0000-A,4308.48992729634,1966.7089386697096,,pass,pass
5,GAO20210813t140412p0000,True,2021-08-13,39.768,-80.3758,GAO20210813t140412p0000-A,5052.420040269179,1764.8272966668528,,pass,pass
5,GAO20210531t123731p0000,True,2021-05-31,39.76805982,-80.37584973,GAO20210531t123731p0000-A,2184.734858660397,1669.5605869639146,,pass,pass
5,GAO20210521t131640p0001,True,2021-05-21,39.76800616,-80.37576023,GAO20210521t131640p0001-3,6015.8591568887805,1944.6189243571816,,pass,pass
6,ang20221024t174902,True,2022-10-24,39.773642,-80.215336,ang20221024t174902-A,892.438070196834,322.2410687642522,,pass,pass
6,ang20221009t181144,True,2022-10-09,39.773482,-80.215688,ang20221009t181144-C,1168.4390106035194,349.42341685693134,,pass,pass
6,GAO20210813t141544p0000,True,2021-08-13,39.773911,-80.215555,GAO20210813t141544p0000-B,2426.417246051736,898.0558008557,,pass,pass
6,GAO20210813t140412p0000,True,2021-08-13,39.77384,-80.215674,GAO20210813t140412p0000-B,2724.2190606137106,432.7753256678337,,pass,pass
6,GAO20210521t151830p0000,True,2021-05-21,39.77392663,-80.21556285,GAO20210521t151830p0000-2,3496.310962211733,636.3037035805892,,pass,pass
8,ang20221103t161828,True,2022-11-03,,,,0.0,50.0,none,,fail
8,ang20221011t181926,True,2022-10-11,,,,0.0,50.0,none,,fail
