scene_id,vent_id,vent_type,lat,lon,qc,comment,infrastructure_update,plume_id,link
ang20221009t162340,1.0,Well,39.8663706164374,-80.5773959343142,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221009t162340#17.0/39.8663706164374/-80.57739593431420
ang20221003t181100,1.0,Well,39.8663706164374,-80.5773959343142,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221003t181100#17.0/39.8663706164374/-80.57739593431420
ang20221011t171034,1.0,Well,39.8663706164374,-80.5773959343142,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221011t171034#17.0/39.8663706164374/-80.57739593431420
ang20221003t160932,1.0,Well,39.8663706164374,-80.5773959343142,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221003t160932#17.0/39.8663706164374/-80.57739593431420
ang20221003t181100,2.0,Ventilation Shaft,39.8445045237257,-80.5994790046048,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221003t181100#17.0/39.8445045237257/-80.59947900460480
ang20221011t171034,2.0,Ventilation Shaft,39.8445045237257,-80.5994790046048,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221011t171034#17.0/39.8445045237257/-80.59947900460480
ang20221009t162340,2.0,Ventilation Shaft,39.8445045237257,-80.5994790046048,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221009t162340#17.0/39.8445045237257/-80.59947900460480
ang20221103t164406,2.0,Ventilation Shaft,39.8445045237257,-80.5994790046048,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221103t164406#17.0/39.8445045237257/-80.59947900460480
ang20221011t165806,2.0,Ventilation Shaft,39.8445045237257,-80.5994790046048,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221011t165806#17.0/39.8445045237257/-80.59947900460480
GAO20210514t125900p0000,3.0,Settling Pond,39.8889384796645,-80.2045849193608,none,none,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=GAO20210514t125900p0000#17.0/39.8889384796645/-80.20458491936080
GAO20210515t142544p0000,3.0,Settling Pond,39.8889384796645,-80.2045849193608,none,none,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=GAO20210515t142544p0000#17.0/39.8889384796645/-80.20458491936080
GAO20210521t151830p0000,3.0,Settling Pond,39.8889384796645,-80.2045849193608,none,none,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=GAO20210521t151830p0000#17.0/39.8889384796645/-80.20458491936080
ang20221009t182331,3.0,Settling Pond,39.8889384796645,-80.2045849193608,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221009t182331#17.0/39.8889384796645/-80.20458491936080
ang20221024t180037,3.0,Settling Pond,39.8889384796645,-80.2045849193608,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=ang20221024t180037#17.0/39.8889384796645/-80.20458491936080
GAO20210514t131258p0000,3.0,Settling Pond,39.8889384796645,-80.2045849193608,none,none,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=GAO20210514t131258p0000#17.0/39.8889384796645/-80.20458491936080
GAO20210521t153629p0000,3.0,Settling Pond,39.8889384796645,-80.2045849193608,none,,,,https://platform.carbonmapper.org/picker/?mapSearch=1&inst=&search=GAO20210521t153629p0000#17.0/39.8889384796645/-80.20458491936080
